Feature_Name,Score
perimeter_worst,885.0343196572989
radius_worst,851.4893467553132
concave points_mean,822.6566139761763
area_worst,793.7495068203817
concave points_worst,765.662541215915
perimeter_mean,650.5475206075287
concavity_mean,644.9783606765335
area_mean,617.398450432811
radius_mean,601.2368252194095
area_se,462.21465921020126
concavity_worst,443.66309978998527
radius_se,325.009571164114
perimeter_se,304.7657823740434
compactness_mean,280.3116716619728
compactness_worst,255.08891076510594
concave points_se,130.57709588887596
texture_worst,120.61609787260166
