capacity_mw,latitude,longitude,Fuel Type,commissioning_year,geolocation_source,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017
2.5,28.1839,73.2407,3,2011.0,1,2414.072373401681,2453.9362918708252,2531.7544577527997
98.0,24.7663,74.609,0,1996.876893939394,2,2414.072373401681,2453.9362918708252,2531.7544577527997
39.2,21.9038,69.3732,1,1996.876893939394,2,2414.072373401681,2453.9362918708252,2531.7544577527997
135.0,23.8712,91.3602,1,2004.0,2,843.747,886.004428,663.7745
1800.0,21.9603,82.4091,0,2015.0,2,5916.37,6243.0,5385.579736432796
250.0,23.7689,68.6447,0,2005.0,2,1208.852,1175.765,1147.913
60.0,10.4547,77.0078,1,1970.0,2,152.1952,61.42135,89.6296
192.0,32.2258,77.207,1,2010.0,2,721.3352,675.7244,679.5949499999999
290.0,16.33,75.8863,1,2004.0,2,144.4342,402.02975,439.3721
210.0,23.1642,81.6373,0,2008.0,2,1643.046,1338.093,1563.457
1350.0,21.0782,77.9009,0,2014.0,2,5629.663,1701.008,4350.558
134.0,31.2717,76.4938,1,1985.0,2,665.1972999999999,670.50065,644.5709499999999
1200.0,24.2007,82.8,0,2011.0,2,8076.8105,7902.0216,7940.74
16.95,31.2412,77.8769,1,1986.0,2,2414.072373401681,2453.9362918708252,2531.7544577527997
9.0,21.196188863109047,77.44784779582368,1,1987.0,2,2414.072373401681,2453.9362918708252,2531.7544577527997
2630.0,24.201,82.7891,0,2000.0,2,11151.06947219136,13227.35235,15334.8763
419.33,25.1797,76.3188,1,1989.0,2,909.0,666.42,430.0
600.0,23.0666,81.7841,0,1996.876893939394,2,2414.072373401681,2453.9362918708252,2531.7544577527997
1200.0,23.0655,81.7865,0,2015.0,2,2702.8232000000003,3515.7496,5777.12
10.0,18.0845,76.1851,0,1996.876893939394,2,2414.072373401681,2453.9362918708252,2531.7544577527997
17.0,19.5867,74.7061,0,1996.876893939394,2,2414.072373401681,2453.9362918708252,2531.7544577527997
24.0,16.7708,74.9191,0,1996.876893939394,2,2414.072373401681,2453.9362918708252,2531.7544577527997
652.0,26.6282,79.5286,1,1989.0,2,1465.0,509.0,357.0
600.0,21.7438,83.2741,0,2017.0,2,986.24735,283.2,540.29
46.0,19.7881,79.1518,0,1996.876893939394,2,2414.072373401681,2453.9362918708252,2531.7544577527997
50.0,21.196188863109047,77.44784779582368,3,2015.0,2,2414.072373401681,2453.9362918708252,2531.7544577527997
1.0,28.3615,74.2402,3,1996.876893939394,0,2414.072373401681,2453.9362918708252,2531.7544577527997
16.5,14.5751,76.3926,1,1996.876893939394,2,2414.072373401681,2453.9362918708252,2531.7544577527997
50.0,14.9455,77.687,3,1996.876893939394,0,2414.072373401681,2453.9362918708252,2531.7544577527997
113.6,18.858,73.6396,1,1996.876893939394,2,2414.072373401681,2453.9362918708252,2531.7544577527997
