Total_Stops,Price,Duration_hours,Duration_minutes,month,day,Indigo,Air India,Jet Airways,SpiceJet,Multiple carriers,GoAir,Vistara,Air Asia
4,3897,2,50,3,24,0,0,0,1,0,0,0,0
2,7662,7,25,1,5,0,1,0,0,0,0,0,0
2,13882,19,0,9,6,0,0,0,0,1,0,0,0
3,6218,5,25,12,5,0,0,0,1,0,0,0,0
3,13302,4,45,1,3,0,0,0,1,0,0,0,0
4,3873,2,25,6,24,0,0,0,0,0,0,1,0
3,11087,15,30,12,3,0,0,0,0,1,0,0,0
3,22270,21,5,1,3,0,0,0,0,1,0,0,0
3,11087,25,30,12,3,0,0,0,0,1,0,0,0
3,8625,7,50,5,27,0,0,0,0,0,1,0,0
3,8907,13,15,1,6,0,1,0,0,0,0,0,0
4,4174,2,35,4,18,0,0,0,1,0,0,0,0
4,4667,2,15,6,24,0,1,0,0,0,0,0,0
3,9663,12,10,9,5,0,0,0,0,1,0,0,0
4,4804,2,35,4,24,0,0,0,1,0,0,0,0
2,14011,26,35,3,3,0,1,0,0,0,0,0,0
3,5830,4,30,4,15,0,0,0,0,0,0,1,0
3,10262,22,35,12,6,0,0,0,0,1,0,0,0
2,13381,23,0,12,6,0,1,0,0,0,0,0,0
3,12898,20,35,5,27,0,0,0,0,1,0,0,0
3,19495,5,10,6,3,0,0,1,0,0,0,0,0
3,6955,15,20,3,21,0,1,0,0,0,0,0,0
4,3943,2,50,3,4,0,0,0,1,0,0,0,0
4,4823,2,55,1,5,0,0,0,1,0,0,0,0
3,7757,13,20,6,5,0,0,0,0,1,0,0,0
2,13292,15,10,9,6,0,0,0,0,1,0,0,0
3,8238,5,45,1,6,0,0,0,1,0,0,0,0
3,7682,5,55,5,15,0,0,1,0,0,0,0,0
4,4668,2,50,6,18,0,0,0,0,0,0,0,1
4,3687,2,15,6,15,0,0,0,0,0,0,0,1
4,3687,2,15,6,18,0,0,0,0,0,0,0,1
2,13227,13,25,1,5,0,1,0,0,0,0,0,0
4,4423,2,50,6,4,0,0,0,1,0,0,0,0
2,10919,22,0,6,15,0,0,0,0,1,0,0,0
3,12373,5,30,5,18,0,0,0,0,1,0,0,0
3,5894,10,25,6,27,0,0,0,1,0,0,0,0
3,4649,5,15,5,21,0,0,0,0,0,0,1,0
4,6245,2,30,5,18,0,1,0,0,0,0,0,0
3,19225,6,15,6,3,0,0,0,0,1,0,0,0
